,Statements,Label
0,Guul,1
1,Hambalyp,1
2,amaan,1
3,soo jiidasho leh ,1
4,raali galin,1
5,Legend,1
6,faraxad,1
7,qurux,1
8,quruxsan,1
9,la jecel yahay,1
10,amaanan ,1
11,udugoon,1
12,Naxariis,1
13,Jacayl,1
14,Ilahoow sheikh mustafe janada ku gee,1
15,Sheikh mustafa illhow cimrigaga dhere jazakallhu khe,1
16,Hadal Afkaaga Kaso baxa Waxa ugu wngsn saliga Rasuulkena ,1
17,Rabow wadada xaqa na tus anaga iyo inti islama oo dintena nagu adke,1
18,Ilaahey waxan ka baryayaa isago kale inu dhexdeena ku badiyo. Ilahayow wilasheyda sidiisa ufahansi xaqa iyo wanaaga,1
19,Ilahay inama hoojiyo aakhiro iyo aduunba,1
20,jidka siraad ilaahow taako nooga yeel Aamin,1
21,ilahayow qatumo wanagsan nagu dil,1
22,Allow naga badbaadi cadaabta,1
23,Allow noo naxariiso dhamaanteyna,1
24,ìlaahow xaraanta naga ilaali,1
25,Allow noo danbi dhaaf dhama,1
26,ala hakaa ajar siiyo khayrkaa aad nasoo gaadh siisay,1
27,balse inantu waxay noqotay mid dumarka kuwoda ugu quruxda badan uguna akhlaqda wangsan,1
28,carabkaa caano macaan lagu qabay,1
29,"wlhi been mahn diin,naxariis,wanaag,qurux",1
30,afkaga caana lagu qaby,1
31,mashallah alaha ku xafido,1
32,walalkay mcn ilahay Haa ku xifdiyo,1
33,ayyyy mahadsanid boqorka,1
34,Nasaboow Jiroo waayo sii joog,1
35,mahadsanid,1
36,waa dad aad ujecelahay ,1
37,Horumar,1
38,Farxad,1
39,Guul,1
40,Rajada,1
41,Nabad,1
42,Caafimaad,1
43,Barwaaqo,1
44,Iskaashi,1
45,Dhiirrigelin,1
46,Aqoon,1
47,Xasilooni,1
48,Caddaalad,1
49,Samafal,1
50,Dareen wanaagsan,1
51,Ixtiraam,1
52,Xikmad,1
53,Fikir wanaagsan,1
54,Hal-abuur,1
55,Isbeddel togan,1
56,Saaxiibtinimo,1
57,Jacayl,1
58,Qanacsanaan,1
59,Hammi sare,1
60,Waxqabad,1
61,Karti,1
62,Maalin kasta waa fursad cusub.,1
63,Guusha dhabta ah waa inaan la joojin isku dayga.,1
64,Farxaddu waa go'aan maalinle ah.,1
65,Noloshu waxay qiimo leedahay marka la wadaago.,1
66,Caqabaduhu waa tallaabooyin ku sii dhaw guusha.,1
67,Xikmadu waa hantida ugu qaalisan.,1
68,Isbeddelku waa marxalad nolosha ka mid ah.,1
69,Rajadu waxay iftiimisaa mugdiga.,1
70,Samirku waa furaha guusha.,1
71,Jacaylku waa luuqadda guud ee bani'aadamka.,1
72,"""Guushu waxay imaanaysaa marka aad rumaysato riyadaada.""",1
73,"""Qalbigaaga ku hay farxad iyo rajo walba.""",1
74,"""Ku dadaal inaad noqoto iftiinka dunidaada.""",1
75,"""Jacaylku ha noqdo hagahaaga maalin walba.""",1
76,"""Noloshu way dhalaalaysaa marka aad ku noolaato rajo.""",1
77,"""Ku faan guulahaaga, yaryar iyo kuwa weynba.""",1
78,"""Dhoolacadeyntaadu ha noqoto sababta farxadda dadka kale.""",1
79,"""Kasta oo caqabad ah, waxaa jira fursad qarsoon.""",1
80,"""Riyadaada ku raac talaabo kasta oo jacayl ah.""",1
81,"""Farxadu waa doorasho maalinle ah.""",1
82,"""Awooddaada ku aamin inaad samayn karto isbeddel.""",1
83,"""Hamigaagu ha ahaado sida xiddigaha; sare u kac.""",1
84,"""Ku noolow nolol leh ujeeddo iyo macno.""",1
85,"""Aamin in berri ay ka fiicnaan doonto maanta.""",1
86,"""Qoyska iyo saaxiibada ha noqdaan tiirarkaaga xooggan.""",1
87,"""Nolosha ku qabo qosol, jacayl, iyo rajo.""",1
88,"""Samir iyo adkaysi waa furaha guusha.""",1
89,"""Caafimaadku waa hantida ugu qiimaha badan; ilaali.""",1
90,"""Dunidaada ka dhig meel ay ka buuxaan farxad iyo nabadda.""",1
91,"""Ku soo dhawow maalin kasta qalbi furan.""",1
92,"""Cimrigaaga ha noqdo sheeko ku saabsan farxad iyo guulo.""",1
93,"""Dareenkaaga togan ha noqdo hibo aad bixiso.""",1
94,"""Kasta oo dhib ah, xusuusnow inaad xoog badan tahay.""",1
95,"""Niyaddaada ha noqoto mid buuxa oo rajo iyo farxad ah.""",1
96,"Guusha dhabta ah waa inaan la joojin isku dayga.""",1
97,"""Qalbigaaga ku hay farxad.""",1
98,"""Ku dadaal inaad noqoto iftiinka dunidaada.""",1
99,"""Jacaylku ha noqdo hagahaaga.""",1
100,"""Noloshu waxay qiimo leedahay marka la wadaago.""",1
101,"Farxaddu waa doorasho.""",1
102,"""Awooddaada ku aamin inaad isbeddel samayn karto.""",1
103,"""Hamigaagu ha ahaado sida xiddigaha; sare u kac.""",1
104,"Shimbir geed dul fadhida marnaba kama cabsato in laanta ay saaran tahay la jabto, sababtoo ah kalsoonideedu ma aha laanta balse waa baalasheeda. Had & jeer ku kalsoonow naftaada.",1
105,Qorrax-dhaca halkan waxay Qorrax soo bax u tahay dhinac kale oo Aduunka ka mid ah. Ha quusan sababtoo ah wax u muuqda dhamaad ayaa xaqiiqdii ah bilow cusub.,1
106,Noloshu waxay macno badan yeelataa marki aad garowsato xaqiiqda fudud ee ah in fursad isku mid ah aysan laba jeer ku soo mareyn. Ka faa’iideyso fursad kasta,1
107,"Ha isku mashquulin hana ka fekirin gefkii shalayto, waayo berri waa fursad kale oo aad ku sixi kartid intii shalay qabyada kaa ahayd.",1
108,Ilaaheyse mahad baan u qiri kuman malaayiina.,1
109,Illah dambi dhaaf ha uga dhigo insha Allah,1
110,ilaahey xaqiina ha idin soo dhiciyo,1
111,Maashaa Allah,1
112,inshaa allah,1
113,Subxanallah,1
114,Allah haxiiftiiyo,1
115,Allahu akbar allaha unaxaristo,1
116,Maasha allaah,1
117,Illahiyow u gar gaar caruurtan agoonta ah,1
118,Alla wll wilka wuu yar yahaye niyad hakajabinin plz calosha i xanuntey,1
119,Please and please for give him is sharma boy please and please daahir geesi,1
120,Adeerow plzz iska cafi,1
121,Cafi wuu kuusoo hoydee,1
122,War cunug iskadaa ninweyn baa tahayee,1
123,Iska cafi awoodada wad tustaye,1
124,Guul sharma boy,1
125,Dahir abwaan keena siyaasigena ayaa tahay waxana ahay shaqsi si dhab ah kutaageero ee cafi wiilka yar e Sharma boy cadowga ha unoolaade inkastoo an u xanaaqay wax yabihii ow kugula fududaday hadana waa nin raga oo qaldkiisii qirtay inta kucafi,1
126,Ina Adeer iska Cafi Waa Wiil soomaaliyeed,1
127,Daahir wll Sharma iskadaa cunuga haniyad jabine,1
128,Iska samax dahir wu ku rali gareye anaga wa cafinay tagera yashada nahy e samax,1
129,Wiilkaan cadowga ha ii jabin o ku dhahay Ee abowe kaleexo,1
130,sxb kaqale sharmaboy,1
131,Wllo wilku wuu ku qiray Ee iska cafi maqaayadiisa ufasax,1
132,Daahirow gobonimadu inaa cafisid bay ku jirtaa,1
133,Adeer daahirow ninka waa nin raga qaladkisana qirtay qalbiguna ka hadlay ee adeer ninka iska cafi oo maqayada iyo lacagtba ku wareje facis ha u jabinin,1
134,Aderow wiilka asagi haka reben iska sii qabilka iska daa qof weyn baa thy mesha dhalin yarad kal hadli lahed baa adigu iblowday,1
135,Haloo celiyo Hana lacafiyo,1
136, sharma walaciilay wiilka yaalaciilin ,1
137,Alla Daahirow wiilka Daa qalbigaa I xanuunay walaahi iska cafi,1
138,Dahir wiilka Waa dhalin yaro wadaan burbursan ayuu ku nool yahay iska cafi cadawgana ha u jabin,1
139,Iska cafi Brother ninka cadow ga haw jabine,1
140,Wlh waxan aad soo duubtay adaa ku jabay siduu kula hadlay raganimada ku jirta nin raga uunba garan kara muxu sameyay hesbu farmajo ku daray warya wadka qaldantahay kayar,1
141,waa cafine sxp calasow king wiilka yar ka qalee cadowga ha ujabinin,1
142,daahir qaali ladan mesha kasaar gabadhaan maskiinta zxpw,1
143,Geesi geesi dahir nin raga sunuhi rasulka weye cafintu,1
144,Ninka Ragga Asaagis Ha ujapin,1
145,Sxb hadad jacshahay rasulka scw plz iska dhaf,1
146,Daahir calasow nin rageed rali galinta qaado,1
147,Wr ninka iska cafi lpx,1
148,Daahirow sidii nin wayn ayuu kuula hadlay u fasax fadlan,1
149,Cunuga yar ka. shuruud la aan u celi waxuusa owlaada Allaha ha ka qaadee,1
150,Aboowe wilka wu ku rali galaye ha u jabin cadowgisa si raganimo bu kula hadlaye dahir daa wilka plz,1
151,Alla plz nin rag waye hacilin dahir Calosow iskadhaf wiilka calosha ihurtay wlh ,1
152,Dameer calasow Iska daa wilka yar oday wen tahay,1
153,Nio qof wayn baa tahe isku xishooo,1
154,Waar daahir wiilka inaga fasax,1
155,Dahir inta aan aqaanay weey dhaaftay Cimaamadada lama haysa karo sxb wilka cafi cadowga ha ujabin team habiqleeyso ma igu raacsan tihiin ,1
156,Aabo aaaaaaa dahirow inadeerow angu saas ma nihin dadkana saas uma mayd garaacno hadaan hawiye nahaye ninkaas yar ee nagu dhex jira waxiisa naga sii,1
157,Iska cafi baskinkhas,1
158,"Charma Boy waa wiil yar Dahirow in aad gacan qabatid maahine dib ha u celin , fadlan ka dulqaad xayiraada youtube ka Pls",1
159,Dahir hadad tahay nin hawiye ah hiraab ah habargidir ah sacad ah kana soo jeedo boqoryoyadii habar gidir laguna yaqanay dad wax dilo karo waxna dooleyn karo iska cafi waa nin dhilinyaro ah oo ku soo hoyday,1
160,gab ka dheh pro sharma boy,1
161,gudoomiya dahir sharma qaladka wuu qirtay ilahay dartis ku cafi hada nahy tolkada gudoomiya,1
162,dahir walaal iskadaa wiilka yar ilma waa dhashay waa kuwaagoo kale eh,1
163,Masuule waxa tahay madaxda,1
164,War ninka si ragonimo leh ayuu kuula hadlay wax kale ha usii qabsan waxiisa u celina kana leexo wiilka yarka ah,1
165,Iska dhaaf walalow ilma yar waaye,1
166,"iska cafi sxb ninka warkale hadu ka imadane wan arkeyna lkn ninkan wu ku qiray hada awodada sxb marka ano ka mid ah dadka go,anka laga sugayo in ad u celiso channel ka Kadibna is cafis u dhaco intana ha,uga harine indhaha umada ka jedisid wllken sharma    mid kalane waxa ladhahay    dibiga gowrac weysha ha ku qus qadadte ader shalay sharma kalsonidi ka muqatay    wad arkeysen ee hada si privet ah isga xaliya umada next ku jirta sababto intad baryotamilaheyd ado waxagi laheysto ado waxa ga heysto baryotan nio xabana ha is ad keyn hadad ogtahy in waxan lagaga aqon badanyahy",1
