author,date,Comment,like_count,reply_count,comment_length
@user-yh1uk8ld5b,2024-04-11T05:01:10Z,Tareenka qoslaaye waa Nin aqoon u leh shaqadiisa,0,1,48
@user-yh1uk8ld5b,2024-04-11T05:01:48Z,Qareenka qoslaaye waa Nin shaqadiisa yaqaan,0,0,43
@najmabdullahi9952,2024-04-11T03:49:05Z,Qof kugu midib ah kugu dal ah kugu muslim ah😢😢😢😢😢 ayaa dhulka katagaayo subxanallah war somaaliyed ilmahaaga xitaa kashaki iska dayee saxibkaa please please indhahiina kla fura🥹🥹🥹🥹🥹,0,0,181
@BisharAli-gk4qo,2024-04-11T03:17:25Z,Kiiskaan madmadow baa ku jira gacanta cida gaysatay ma cada qofkaas oo keli ah ayaa dil toogasho ah,0,0,99
@BisharAli-gk4qo,2024-04-11T02:29:31Z,Iimaanka alle ka qaad aniga qoslaaye mahi in uu dhaho baa u hartay,0,0,66
@AbdoAli-yh3ln,2024-04-11T02:24:00Z,Odayga damiinul maalka ka ahaa  si wayn buu u gar naqsaday wax raad ahna maleh,0,0,78
@user-vq9fn3iy1i,2024-04-11T00:12:05Z,Masha Allah runtii aadban ugahelay sidawanaagsan ee maxkamadu usocoto,0,0,69
@user-ey9dl5ig2h,2024-04-10T22:01:58Z,War cameradaha Hala wada Xirto isku daah maleh waa dhimanee lkn Horey halaga ogado waxa ku dilay intaas Ayey si sahlan kugu Caawineysa Camerda,0,0,142
@user-ut8gj7pw2r,2024-04-10T20:15:54Z,😢😢😢😢axsomaliya halke kusoctan,0,0,29
@Nasiroma,2024-04-10T17:55:04Z,Aqoon malaha wax lama soo barin qabiil ayaa lagu keenay goormay dadkaan ka waan toobayaan ? Aduunka lagu Cadaan at ayagana ha biqleeso meeshe gaarto aa aragno,0,0,158
@user-zp5gw2yw8y,2024-04-10T17:22:19Z,Balo xoriyad ini siisay kuli ya toogta bahalada,0,0,47
@hawshegintv4738,2024-04-10T16:56:09Z,qabyalad iyo bililiqo darajo lagu helaa saasa u dameysa hawiye bililiqa asagood ka rebtay,0,0,89
@hawshegintv4738,2024-04-10T16:28:48Z,farmajo dawlada meel fican bu kenay walhi😢,0,0,42
@hamdixarago8234,2024-04-10T15:02:51Z,Qareenada indha adakaa bisinkee,0,0,31
@maxamedbashiir3051,2024-04-10T08:05:17Z,Dhamantood hala togto kuwaas  ine si noladaan ma ficno,0,0,54
@user-kc3wp7iq8i,2024-04-10T07:48:11Z,Wallhi wadankn xaaladiisu maha mid laysku hallayn karo,0,0,54
@D-j46,2024-04-10T05:45:59Z,"The only reason sidaas dhan loogu baaray waxa waaye, marxuunka illahay ha u naxariiste haybtuu kasoo jeeday baa ah qabiilada wadanka laandheraha sheegta. Intee qof baa maalinti muqdisho lagu dilaa, mxaa sidaas loogu baari waayay",0,0,228
@cumarahmed134,2024-04-09T23:38:53Z,Hala dillo duliga,0,0,17
@romiyowcade3311,2024-04-09T23:38:08Z,Nin weyn been iyo qamri lagu qabtay 😅,0,0,37
@anjalikuusey3401,2024-04-09T22:52:04Z,Mudnaanta iyo dadaalka waxa leh ciidanka dalkena qeur allh siiyo marxumkana allah yarahma😢,2,0,90
